run_id,ev_depart,confidence,ev_speed,route,ew_flow,ns_flow,travel_time,true_delay,ev_wait,safety_violations,teleports,deadlocks,passed
1,272.1,0.23,14.8,COMPLEX_TURN_D_TO_B,949,616,57.0,10.89,0.0,0,0,0,True
2,329.7,0.19,18.1,EW_full,832,944,107.0,69.3,34.0,0,0,0,False
3,329.0,0.06,15.1,NS_B,1099,704,26.0,5.39,0.0,0,0,0,True
4,547.9,0.75,20.1,COMPLEX_TURN_D_TO_B,804,949,-1.0,999.0,19.0,0,0,1,False
5,294.9,0.17,21.1,COMPLEX_TURN_D_TO_B,1067,763,62.0,29.66,0.0,0,0,0,False
6,580.2,0.3,21.5,EW_full,1042,945,-1.0,999.0,0.0,0,0,1,False
7,369.8,0.63,21.8,NS_D,886,945,57.0,42.72,18.0,0,0,0,False
8,266.5,0.11,18.3,NS_D,735,694,30.0,12.99,0.0,0,0,0,True
9,388.9,0.53,15.2,NS_C,850,996,58.0,37.53,21.0,0,0,0,False
10,297.1,0.92,16.3,COMPLEX_TURN_D_TO_B,809,692,60.0,18.13,0.0,0,0,0,False
11,399.3,0.07,14.7,EW_full,968,857,-1.0,999.0,37.0,0,0,1,False
12,625.9,0.45,20.9,NS_D,860,706,29.0,14.11,0.0,0,0,0,True
13,475.9,0.65,17.2,NS_C,1079,672,25.0,6.91,0.0,0,0,0,True
14,354.0,0.73,15.6,NS_B,675,641,32.0,12.05,0.0,0,0,0,True
15,558.3,0.32,14.7,NS_D,952,851,53.0,31.83,18.0,0,0,0,False
16,541.7,0.08,16.4,NS_B,661,716,30.0,11.02,0.0,0,0,0,True
17,605.0,0.06,14.5,COMPLEX_TURN_D_TO_B,658,912,-1.0,999.0,34.0,0,0,1,False
18,567.0,0.54,17.0,COMPLEX_TURN_D_TO_B,802,658,57.0,16.86,0.0,0,0,0,False
19,565.5,0.22,16.6,NS_C,918,735,26.0,7.25,0.0,0,0,0,True
20,540.2,0.94,21.2,NS_D,1019,970,-1.0,999.0,19.0,0,0,1,False
21,250.5,0.95,21.1,NS_C,933,674,31.0,16.25,0.0,0,0,0,False
22,464.3,0.86,21.0,EW_full,1077,693,-1.0,999.0,2.0,0,0,1,False
23,487.7,0.23,20.4,EW_full,653,840,71.0,37.55,2.0,0,0,0,False
24,617.1,0.6,21.6,NS_B,1087,785,35.0,20.59,2.0,0,0,0,False
25,533.3,0.3,15.7,NS_C,719,729,27.0,7.18,0.0,0,0,0,True
26,573.8,0.87,16.4,NS_C,622,650,25.0,6.02,0.0,0,0,0,True
27,421.1,0.46,18.3,NS_D,867,665,25.0,7.99,0.0,0,0,0,True
28,294.3,0.47,20.0,EW_full,879,944,119.0,84.88,30.0,0,0,0,False
29,264.2,0.52,14.4,EW_full,814,756,88.0,40.61,15.0,0,0,0,False
30,482.4,0.48,18.5,NS_B,815,756,31.0,14.18,0.0,0,0,0,True
31,297.5,0.22,17.7,NS_D,637,788,37.0,19.42,4.0,0,0,0,False
32,559.4,0.09,21.1,EW_full,1031,881,-1.0,999.0,0.0,0,0,1,False
33,550.5,0.32,20.6,NS_D,969,980,-1.0,999.0,25.0,0,0,1,False
34,569.4,0.63,21.2,NS_D,617,841,45.0,30.32,10.0,0,0,0,False
35,435.8,0.55,16.5,NS_C,646,979,60.0,41.14,22.0,0,0,0,False
